Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1309-1	800.59	422.00	40.000	596.97	286.00	17.000	
	215.96	162.00	69.000	1065.9	309.00	104.00	
	751.23	242.00	239.00	428.83	358.00	72.000	
	1912.8	300.00	255.00	123.41	459.00	130.00	
	1326.6	558.00	535.00	182.02	340.00	131.00	
	419.58	294.00	545.00	111.06	341.00	156.00	
				98.720	310.00	165.00	
				704.95	196.00	182.00	
				114.15	247.00	183.00	
				152.71	222.00	218.00	
				242.18	331.00	231.00	
				384.10	155.00	285.00	
				1305.0	252.00	300.00	
				151.17	193.00	314.00	
				387.18	252.00	321.00	
				1055.1	324.00	356.00	
				418.03	120.00	367.00	
				220.59	219.00	417.00	
				749.69	321.00	438.00	
				256.07	262.00	460.00	
				237.55	298.00	476.00	
				61.700	479.00	483.00	
				60.160	488.00	494.00	
				58.620	77.000	495.00	
				704.95	120.00	521.00	
				107.98	228.00	505.00	
				646.33	611.00	567.00	
				101.81	509.00	570.00	
				351.70	581.00	577.00	
				222.13	303.00	598.00	
				124.95	555.00	629.00	
1309-2	356.33	367.00	149.00	290.00	535.00	191.00	
	3606.5	517.00	240.00	137.29	224.00	217.00	
	2221.3	116.00	274.00	223.67	18.000	264.00	
	1437.7	84.000	336.00	161.97	580.00	413.00	
				154.26	509.00	428.00	
				101.81	586.00	448.00	
				183.57	573.00	495.00	
				137.29	85.000	474.00	
				155.80	252.00	581.00	
				148.09	197.00	609.00	
				67.870	88.000	612.00	
				157.34	301.00	602.00	
1309-3	2657.8	273.00	217.00	368.67	248.00	7.0000	
	4896.1	154.00	281.00	436.55	312.00	26.000	
	2943.2	439.00	301.00	444.26	357.00	23.000	
	1701.4	145.00	478.00	132.66	443.00	50.000	
	1360.5	507.00	542.00	940.96	95.000	64.000	
				182.02	619.00	83.000	
				95.640	412.00	113.00	
				913.20	70.000	130.00	
				613.94	130.00	127.00	
				419.58	616.00	158.00	
				121.86	49.000	151.00	
				112.61	160.00	177.00	
				732.72	383.00	191.00	
				337.82	115.00	407.00	
				291.54	172.00	411.00	
				343.99	99.000	427.00	
				168.14	621.00	500.00	
				323.94	54.000	511.00	
				512.13	219.00	516.00	
				499.79	557.00	534.00	
				121.86	150.00	537.00	
				81.760	70.000	551.00	
				721.92	527.00	577.00	
				143.46	627.00	571.00	
				129.58	131.00	625.00	
1309-4	1064.4	201.00	93.000	257.61	314.00	49.000	
	1488.6	552.00	95.000	129.58	284.00	65.000	
	1741.6	207.00	247.00	505.96	158.00	197.00	
	439.63	163.00	257.00	169.68	362.00	231.00	
	848.41	464.00	337.00	70.960	437.00	235.00	
	1493.2	592.00	373.00	330.11	156.00	267.00	
	3648.2	262.00	368.00	305.43	95.000	278.00	
	1241.8	566.00	527.00	493.62	161.00	304.00	
	2307.7	440.00	556.00	115.69	93.000	337.00	
				319.31	191.00	342.00	
				123.41	613.00	578.00	
				388.73	550.00	616.00	
				165.05	480.00	627.00	
1309-5	515.22	402.00	212.00	104.89	597.00	111.00	
	652.50	320.00	231.00	149.63	555.00	147.00	
	556.87	293.00	276.00	248.35	227.00	325.00	
	740.43	233.00	349.00	246.81	188.00	337.00	
	373.30	448.00	432.00	208.25	278.00	407.00	
	1119.9	355.00	452.00	97.180	329.00	437.00	
	408.78	622.00	349.00	1065.9	464.00	396.00	
				550.70	401.00	443.00	
				783.62	392.00	460.00	
				709.58	443.00	494.00	
				146.54	490.00	514.00	
				251.44	197.00	548.00	
				163.51	525.00	562.00	
