Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1235-1	799.05	262.00	178.00	114.15	64.000	55.000	
	612.40	286.00	202.00	138.83	582.00	45.000	
	2352.4	255.00	273.00	231.38	562.00	74.000	
	778.99	363.00	401.00	158.88	149.00	397.00	
	546.07	197.00	499.00	101.81	275.00	411.00	
1235-2	994.95	245.00	96.000	323.94	392.00	181.00	
	3344.3	238.00	187.00	135.75	171.00	412.00	
	812.93	465.00	213.00	149.63	170.00	535.00	
1235-3	1234.1	304.00	360.00	222.13	299.00	90.000	
	2642.4	587.00	558.00	126.49	598.00	86.000	
				135.75	591.00	99.000	
				80.210	570.00	134.00	
				78.670	551.00	185.00	
				154.26	543.00	208.00	
				601.60	119.00	238.00	
				882.35	116.00	274.00	
				285.37	135.00	294.00	
				948.68	80.000	324.00	
				123.41	157.00	356.00	
				1966.8	409.00	380.00	
				629.37	464.00	512.00	
				1027.3	511.00	606.00	
1235-4	1069.0	275.00	545.00	60.160	340.00	28.000	
				44.730	411.00	17.000	
				95.640	226.00	32.000	
				104.89	279.00	38.000	
				359.42	623.00	60.000	
				100.27	198.00	68.000	
				240.64	409.00	234.00	
				91.010	417.00	249.00	
				100.27	542.00	281.00	
				547.61	263.00	271.00	
				512.13	347.00	288.00	
				1338.9	349.00	308.00	
				276.12	64.000	368.00	
				208.25	463.00	417.00	
				182.02	476.00	429.00	
				624.74	311.00	501.00	
				280.75	484.00	536.00	
				897.77	296.00	562.00	
				217.50	428.00	563.00	
1235-5	0.0000			0.0000			no nevi, no GFP MCs
