Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1310-1	2284.5	286.00	79.000	123.41	426.00	53.000	
	1721.5	288.00	274.00	168.14	335.00	79.000	
	1018.1	149.00	489.00	77.130	462.00	109.00	
	470.48	479.00	269.00	100.27	499.00	140.00	
				317.77	455.00	160.00	
				151.17	480.00	161.00	
				118.78	394.00	180.00	
				81.760	483.00	185.00	
				111.06	503.00	194.00	
				260.69	406.00	214.00	
				306.97	508.00	224.00	
				322.40	546.00	223.00	
				262.24	527.00	253.00	
				166.60	548.00	273.00	
				209.79	582.00	274.00	
				1021.2	498.00	417.00	
				126.49	340.00	371.00	
				101.81	134.00	422.00	
				364.05	120.00	440.00	
				169.68	182.00	440.00	
				239.10	349.00	440.00	
				245.27	226.00	455.00	
				128.03	185.00	463.00	
				327.02	214.00	481.00	
				274.58	299.00	509.00	
				1573.4	488.00	541.00	
				1578.0	429.00	542.00	
				198.99	612.00	566.00	
				251.44	341.00	576.00	
				1389.8	101.00	630.00	
				832.98	483.00	611.00	
1310-2	1059.7	424.00	171.00	228.30	312.00	36.000	
	1334.3	419.00	198.00	260.69	358.00	28.000	
	760.48	244.00	258.00	95.640	114.00	176.00	
	8363.8	152.00	290.00	234.47	480.00	191.00	
	1915.9	563.00	238.00	69.420	233.00	232.00	
	1405.3	341.00	350.00	92.550	288.00	321.00	
	1436.1	453.00	388.00	169.68	293.00	366.00	
				129.58	321.00	404.00	
				109.52	274.00	462.00	
				98.720	427.00	466.00	
				69.420	392.00	478.00	
				220.59	448.00	504.00	
				692.61	299.00	514.00	
				149.63	481.00	541.00	
1310-3	840.70	592.00	23.000	114.15	69.000	96.000	
	4299.1	582.00	72.000	92.550	90.000	108.00	
	481.28	543.00	147.00	111.06	132.00	111.00	
	1343.6	494.00	187.00	151.17	6.0000	122.00	
	1770.9	418.00	219.00	145.00	54.000	127.00	
	1736.9	381.00	276.00	723.46	78.000	141.00	
	1274.2	228.00	337.00	132.66	86.000	175.00	
	1022.7	555.00	422.00	936.34	167.00	204.00	
	666.39	268.00	429.00	1232.5	320.00	259.00	
	1372.9	214.00	445.00	1069.0	206.00	294.00	
	617.03	321.00	509.00	1061.3	351.00	334.00	
	993.41	353.00	521.00	840.70	252.00	366.00	
				126.49	42.000	298.00	
				427.29	427.00	349.00	
				106.44	90.000	388.00	
				799.05	176.00	403.00	
				222.13	226.00	393.00	
				172.77	286.00	402.00	
				399.52	316.00	423.00	
				706.49	614.00	435.00	
				1086.0	53.000	424.00	
				231.38	167.00	442.00	
				1178.5	105.00	464.00	
				1322.0	180.00	466.00	
				1857.3	280.00	530.00	
				1474.7	157.00	565.00	
				991.87	26.000	543.00	
				1343.6	509.00	575.00	
				1561.1	570.00	578.00	
				95.640	79.000	517.00	
1310-4	3356.6	392.00	81.000	219.04	17.000	110.00	
	1167.7	525.00	149.00	285.37	452.00	139.00	
	2853.7	193.00	155.00	566.12	455.00	178.00	
	1357.5	74.000	278.00	124.95	31.000	278.00	
	1263.4	289.00	320.00	455.06	276.00	286.00	
	866.92	232.00	512.00	168.14	168.00	361.00	
	1633.6	229.00	558.00	694.15	94.000	402.00	
				185.11	170.00	457.00	
				271.49	117.00	489.00	
				118.78	279.00	483.00	
				180.48	7.0000	556.00	
1310-5	2215.1	453.00	26.000	1881.9	90.000	45.000	
	697.24	496.00	114.00	117.23	185.00	43.000	
	2102.5	430.00	139.00	212.87	273.00	49.000	
	436.55	589.00	235.00	243.73	171.00	120.00	
	851.50	317.00	280.00	453.51	79.000	238.00	
	442.72	101.00	308.00	186.65	158.00	248.00	
	780.54	238.00	353.00	152.71	135.00	257.00	
	382.56	79.000	408.00	146.54	108.00	260.00	
	1201.7	204.00	552.00	308.51	48.000	293.00	
				74.040	334.00	293.00	
				157.34	55.000	404.00	
				339.36	557.00	445.00	
				575.38	561.00	479.00	
				177.39	601.00	474.00	
				124.95	616.00	494.00	
				1028.9	561.00	534.00	
				862.29	474.00	560.00	
				1152.3	491.00	608.00	
				194.36	604.00	614.00	
