Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
T311-1	0.0000	280.00	353.00	103.02	198.00	26.000	degraded nevus (area=1774)
				107.63	100.00	88.000	
				264.47	163.00	141.00	
				173.75	477.00	133.00	
				64.580	126.00	156.00	
				156.84	18.000	225.00	
				81.490	235.00	385.00	
				216.80	549.00	385.00	
							
T311-2	1989.7	50.000	50.000	204.50	273.00	114.00	
	4120.8	354.00	148.00	35.360	326.00	252.00	
	1342.3	395.00	523.00	21.530	239.00	292.00	
				242.94	559.00	368.00	
				162.99	549.00	406.00	
				78.420	318.00	533.00	
							
T311-3	1326.9	370.00	287.00	147.61	128.00	99.000	
	1047.1	269.00	472.00	159.91	238.00	171.00	
	2763.1	545.00	595.00	136.85	255.00	167.00	
				99.940	158.00	195.00	
				210.65	94.000	208.00	
				87.640	223.00	514.00	
				793.40	461.00	585.00	
				997.90	389.00	620.00	
							remnant, area 8298.43
T311-4	0.0000	285.00	157.00	87.640	310.00	282.00	remnant, area 1399.22
	0.0000	456.00	576.00				
							
T311-5	1010.0	261.00	246.00	113.78	229.00	127.00	
				103.02	173.00	142.00	
				161.45	541.00	159.00	
				206.04	251.00	161.00	
				78.420	58.000	224.00	
				69.190	43.000	249.00	
				87.640	8.0000	353.00	
				79.960	162.00	435.00	
				536.62	389.00	443.00	
				814.93	473.00	457.00	
				498.18	438.00	445.00	
				1187.0	434.00	469.00	
				925.64	380.00	483.00	
				195.28	448.00	539.00	
				69.190	385.00	553.00	
