Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1330-1	956.39	326.00	126.00	132.66	555.00	16.000	
	422.66	505.00	116.00	117.23	611.00	29.000	
	1133.8	150.00	53.000	84.840	604.00	42.000	
	464.31	24.000	85.000	89.470	105.00	52.000	
	900.86	543.00	227.00	78.670	32.000	58.000	
	2085.6	345.00	291.00	149.63	228.00	54.000	
	1086.0	181.00	303.00	97.180	385.00	72.000	
	1388.3	204.00	337.00	171.22	561.00	78.000	
	1709.2	309.00	353.00	111.06	629.00	78.000	
	1565.7	262.00	357.00	189.74	235.00	101.00	
	725.01	473.00	613.00	155.80	459.00	106.00	
				172.77	73.000	117.00	
				89.470	120.00	124.00	
				259.15	419.00	147.00	
				325.48	38.000	136.00	
				515.22	50.000	158.00	
				165.05	158.00	154.00	
				120.32	75.000	182.00	
				141.92	115.00	194.00	
				177.39	293.00	204.00	
				217.50	407.00	209.00	
				322.40	567.00	204.00	
				1494.7	335.00	221.00	
				1076.7	376.00	298.00	
				194.36	74.000	247.00	
				124.95	45.000	269.00	
				158.88	86.000	268.00	
				239.10	248.00	254.00	
				106.44	614.00	244.00	
				209.79	64.000	306.00	
				214.42	154.00	290.00	
				228.30	619.00	275.00	
				155.80	566.00	310.00	
				194.36	601.00	305.00	
				143.46	627.00	306.00	
				200.53	18.000	340.00	
				104.89	151.00	342.00	
				200.53	437.00	319.00	
				195.91	621.00	332.00	
				155.80	586.00	347.00	
				111.06	474.00	360.00	
				1945.2	507.00	380.00	
				107.98	355.00	370.00	
				146.54	235.00	360.00	
				168.14	22.000	392.00	
				114.15	125.00	388.00	
				276.12	262.00	362.00	
				401.07	569.00	386.00	
				296.17	270.00	385.00	
				215.96	433.00	412.00	
				134.20	126.00	434.00	
				171.22	105.00	449.00	
				567.66	362.00	460.00	
				135.75	103.00	474.00	
				421.12	222.00	483.00	
				145.00	54.000	494.00	
				100.27	172.00	491.00	
				163.51	628.00	498.00	
				109.52	98.000	505.00	
				100.27	486.00	511.00	
				87.930	69.000	531.00	
				234.47	136.00	539.00	
				168.14	371.00	551.00	
				145.00	396.00	547.00	
				246.81	453.00	537.00	
				1416.1	580.00	556.00	
				137.29	21.000	557.00	
				91.010	42.000	566.00	
				114.15	142.00	571.00	
				211.33	165.00	580.00	
				185.11	243.00	581.00	
				390.27	511.00	566.00	
				114.15	110.00	584.00	
				92.550	70.000	608.00	
				123.41	305.00	609.00	
				134.20	504.00	617.00	
				191.28	103.00	624.00	
				143.46	155.00	621.00	
