Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1322-1	1952.9	191.00	311.00	188.19	457.00	16.000	
	4763.4	416.00	342.00	273.03	495.00	34.000	
				163.51	607.00	27.000	
				89.470	74.000	64.000	
				175.85	312.00	70.000	
				53.990	556.00	70.000	
				151.17	568.00	91.000	
				112.61	94.000	95.000	
				84.840	221.00	89.000	
				63.250	286.00	113.00	
				84.840	109.00	135.00	
				98.720	129.00	167.00	
				95.640	151.00	168.00	
				89.470	218.00	165.00	
				41.650	224.00	224.00	
				141.92	239.00	237.00	
				81.760	274.00	290.00	
				41.650	176.00	386.00	
				84.840	105.00	430.00	
				129.58	619.00	443.00	
				43.190	29.000	449.00	
1322-2	519.84	594.00	120.00	277.66	244.00	68.000	
	485.91	483.00	219.00	259.15	337.00	54.000	
	738.89	54.000	274.00	95.640	289.00	91.000	
	1656.7	358.00	324.00	123.41	122.00	122.00	
	1534.8	63.000	424.00	254.52	402.00	346.00	
				438.09	7.0000	408.00	
				126.49	229.00	541.00	
				61.700	214.00	588.00	
				118.78	268.00	618.00	
1322-3	832.98	350.00	262.00	121.86	260.00	101.00	
	370.22	471.00	281.00	97.180	578.00	83.000	
1322-4	4237.4	464.00	54.000	260.69	250.00	36.000	
	1130.7	257.00	79.000	208.25	304.00	55.000	
	613.94	37.000	90.000	138.83	324.00	98.000	
	1823.3	103.00	231.00	186.65	183.00	129.00	
	340.91	217.00	274.00	286.92	248.00	144.00	
	1312.7	366.00	483.00	510.59	222.00	219.00	
	472.02	157.00	524.00	478.19	270.00	321.00	
	2060.9	243.00	565.00	177.39	218.00	350.00	
	3808.6	607.00	584.00	180.48	512.00	372.00	
				75.590	317.00	419.00	
				229.84	347.00	449.00	
				447.34	516.00	527.00	
				132.66	255.00	525.00	
				117.23	187.00	586.00	
				74.040	243.00	609.00	
1322-5	1454.6	252.00	68.000	1682.9	193.00	185.00	
	893.14	198.00	99.000	269.95	150.00	227.00	
	1934.4	414.00	163.00	57.070	527.00	175.00	
	2787.4	535.00	250.00	141.92	330.00	259.00	
	667.93	558.00	321.00	57.070	571.00	356.00	
	4700.2	77.000	435.00	98.720	274.00	394.00	
	862.29	213.00	450.00	81.760	224.00	421.00	
	3032.7	428.00	479.00	103.35	83.000	504.00	
				69.420	570.00	534.00	
				1018.1	422.00	575.00	
				74.040	485.00	573.00	
				107.98	604.00	603.00	
