Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1237-1	1494.7	476.00	260.00	242.18	621.00	57.000	
	1272.6	248.00	316.00	212.87	296.00	147.00	
				192.82	217.00	199.00	
				131.12	213.00	265.00	
				249.90	243.00	298.00	
				137.29	136.00	340.00	
				69.420	78.000	349.00	
				128.03	64.000	373.00	
				155.80	130.00	568.00	
1237-2	1260.3	204.00	326.00	124.95	556.00	49.000	
	1106.0	150.00	383.00	69.420	561.00	67.000	
	2946.3	417.00	378.00	134.20	73.000	73.000	
	664.85	300.00	593.00	78.670	551.00	91.000	
				285.37	421.00	104.00	
				169.68	74.000	108.00	
				101.81	100.00	120.00	
				202.08	341.00	130.00	
				149.63	290.00	193.00	
				239.10	119.00	316.00	
				155.80	507.00	295.00	
				219.04	490.00	322.00	
				169.68	462.00	322.00	
				143.46	90.000	360.00	
				314.68	27.000	362.00	
				177.39	350.00	346.00	
				293.09	458.00	366.00	
				188.19	540.00	402.00	
				232.93	386.00	401.00	
				239.10	447.00	421.00	
				257.61	524.00	476.00	
				519.84	484.00	520.00	
				1848.0	382.00	572.00	
1237-3	3157.6	231.00	156.00	123.41	373.00	10.000	
	1817.1	381.00	271.00	106.44	63.000	34.000	
	701.87	192.00	447.00	75.590	29.000	38.000	
	1030.4	301.00	489.00	163.51	370.00	45.000	
	1235.6	155.00	576.00	103.35	96.000	64.000	
				118.78	402.00	72.000	
				135.75	65.000	74.000	
				161.97	94.000	106.00	
				115.69	64.000	127.00	
				131.12	353.00	111.00	
				215.96	197.00	192.00	
				220.59	176.00	199.00	
				168.14	267.00	244.00	
				197.45	247.00	234.00	
				97.180	406.00	255.00	
				202.08	419.00	284.00	
				161.97	440.00	310.00	
				60.160	13.000	396.00	
				111.06	64.000	404.00	
				293.09	174.00	440.00	
				118.78	19.000	476.00	
				77.130	52.000	471.00	
				103.35	175.00	498.00	
				208.25	373.00	565.00	
1237-4	422.66	28.000	114.00	63.250	219.00	5.0000	
	897.77	154.00	146.00	91.010	155.00	16.000	
	2261.4	465.00	232.00	87.930	355.00	13.000	
	3493.9	312.00	262.00	112.61	29.000	34.000	
	1189.3	227.00	276.00	286.92	145.00	44.000	
	999.58	98.000	300.00	92.550	295.00	49.000	
	1905.1	417.00	458.00	157.34	373.00	29.000	
	5806.2	320.00	469.00	112.61	108.00	75.000	
	741.97	562.00	580.00	214.42	413.00	62.000	
	2363.2	434.00	609.00	129.58	459.00	101.00	
				111.06	68.000	139.00	
				131.12	393.00	121.00	
				364.05	293.00	150.00	
				145.00	235.00	152.00	
				160.43	344.00	152.00	
				95.640	74.000	167.00	
				163.51	481.00	187.00	
				155.80	618.00	182.00	
				186.65	152.00	201.00	
				254.52	536.00	209.00	
				188.19	103.00	233.00	
				141.92	73.000	248.00	
				134.20	158.00	253.00	
				279.20	44.000	279.00	
				251.44	542.00	262.00	
				183.57	344.00	288.00	
				302.34	450.00	295.00	
				118.78	546.00	289.00	
				240.64	386.00	308.00	
				234.47	340.00	341.00	
				192.82	383.00	357.00	
				101.81	413.00	356.00	
				203.62	351.00	380.00	
				282.29	248.00	413.00	
				165.05	444.00	424.00	
				419.58	563.00	444.00	
				291.54	515.00	480.00	
				134.20	414.00	519.00	
				206.70	455.00	510.00	
				171.22	576.00	522.00	
				198.99	217.00	550.00	
				171.22	242.00	562.00	
				220.59	475.00	573.00	
1237-5	1652.1	119.00	197.00	124.95	227.00	99.000	
	711.12	59.000	252.00	58.620	418.00	172.00	
	3066.6	339.00	255.00	155.80	402.00	199.00	
				168.14	377.00	204.00	
				169.68	265.00	224.00	
				134.20	457.00	285.00	
				117.23	361.00	296.00	
				291.54	432.00	361.00	
				2424.9	322.00	429.00	could be neural cell
				269.95	55.000	411.00	
				165.05	321.00	510.00	
				171.22	304.00	517.00	
				192.82	291.00	552.00	
				297.71	471.00	582.00	
