Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1236-1	11318	295.00	295.00	223.67	288.00	27.000	
	1718.4	488.00	257.00	215.96	170.00	40.000	
	888.52	305.00	504.00	169.68	69.000	74.000	
	967.19	617.00	547.00	279.20	346.00	72.000	
				131.12	396.00	75.000	
				134.20	16.000	75.000	
				166.60	572.00	182.00	
				178.94	19.000	301.00	
				652.50	163.00	501.00	
				66.330	183.00	515.00	
1236-3	3291.8	428.00	79.000	80.210	298.00	12.000	
	2363.2	319.00	111.00	86.380	222.00	36.000	
	3688.3	180.00	131.00	57.070	255.00	44.000	
	2716.5	113.00	208.00	72.500	291.00	42.000	
	2364.7	245.00	310.00	81.760	98.000	60.000	
	5701.3	408.00	535.00	91.010	77.000	103.00	
				140.37	475.00	98.000	
				117.23	613.00	110.00	
				124.95	32.000	146.00	
				185.11	608.00	227.00	
				140.37	442.00	228.00	
				137.29	561.00	227.00	
				148.09	565.00	242.00	
				120.32	522.00	273.00	
				140.37	560.00	288.00	
				106.44	550.00	346.00	
				98.720	345.00	370.00	
				94.100	698.00	365.00	
				89.470	363.00	401.00	
				134.20	83.000	447.00	
				114.15	296.00	454.00	
				100.27	154.00	474.00	
				91.010	578.00	464.00	
				100.27	155.00	498.00	
				86.380	216.00	524.00	
				104.89	191.00	561.00	
				97.180	146.00	608.00	
				81.760	231.00	603.00	
				95.640	290.00	627.00	
				109.52	353.00	630.00	
1236-3	1843.4	389.00	24.000	212.87	172.00	57.000	
	1269.5	363.00	50.000	151.17	576.00	108.00	
	1848.0	306.00	212.00	249.90	430.00	130.00	
	1446.9	485.00	330.00	172.77	347.00	137.00	
	916.28	588.00	344.00	126.49	499.00	129.00	
	10263	360.00	449.00	132.66	520.00	150.00	nevus could be overestimated due to a plum
	1374.4	94.000	463.00	101.81	565.00	157.00	
				103.35	592.00	156.00	
				135.75	295.00	144.00	
				189.74	211.00	212.00	
				155.80	108.00	232.00	
				180.48	514.00	257.00	
				182.02	104.00	274.00	
				149.63	520.00	289.00	
				107.98	104.00	365.00	
				234.47	403.00	381.00	
				183.57	599.00	407.00	
				138.83	22.000	459.00	
				123.41	136.00	489.00	
				81.760	293.00	531.00	
				106.44	412.00	512.00	
				149.63	545.00	560.00	
				123.41	575.00	551.00	
				251.44	509.00	584.00	
				137.29	389.00	591.00	
				205.16	434.00	593.00	
				138.83	268.00	623.00	
1236-4	1959.1	232.00	19.000	141.92	305.00	163.00	
	1124.5	552.00	119.00	140.37	399.00	131.00	
	7188.4	342.00	262.00	209.79	90.000	237.00	
	1210.9	485.00	296.00	172.77	33.000	267.00	
	4991.7	248.00	373.00	188.19	527.00	358.00	
	1133.8	393.00	438.00	482.82	349.00	394.00	
	1402.2	613.00	556.00	314.68	163.00	460.00	
	592.34	496.00	577.00	171.22	208.00	486.00	
	621.65	228.00	594.00	182.02	19.000	555.00	
				183.57	480.00	540.00	
1236-5	1826.4	495.00	125.00	223.67	411.00	18.000	
	6321.4	207.00	151.00	1192.4	324.00	43.000	
	1021.2	212.00	90.000	137.29	85.000	74.000	
	1636.7	258.00	117.00	180.48	80.000	104.00	
	885.43	191.00	247.00	95.640	99.000	105.00	
	3253.3	309.00	260.00	115.69	229.00	253.00	
	3922.7	299.00	321.00	686.44	377.00	588.00	
	2353.9	394.00	284.00	203.62	536.00	594.00	
	5266.3	276.00	351.00	114.15	495.00	618.00	
	769.74	553.00	435.00	134.20	449.00	629.00	
	2657.8	367.00	501.00				
