Sample	Nevus area sq mkn 	X coord	Y coord	GFP MC area	MC x coord	MC y coors	Commentary
1232-1	3381.3	233.00	144.00	243.73	74.000	89.000	
	6339.9	363.00	166.00	146.54	72.000	257.00	
	2448.1	428.00	172.00	381.01	459.00	279.00	
	1138.4	190.00	214.00	896.23	411.00	375.00	
	1439.2	121.00	322.00	681.81	500.00	387.00	
	1630.5	245.00	366.00	737.35	393.00	413.00	
	1491.7	327.00	353.00	1113.7	536.00	402.00	
	1612.0	468.00	382.00	1002.7	294.00	493.00	
	1860.3	567.00	376.00	154.26	515.00	495.00	
	907.03	40.000	584.00	885.43	330.00	557.00	
				177.39	543.00	557.00	
				476.65	500.00	540.00	
				205.16	329.00	619.00	
				168.14	510.00	616.00	
				236.01	511.00	285.00	
1232-2	4009.1	310.00	280.00	118.78	316.00	28.000	
				77.130	303.00	22.000	
				129.58	234.00	96.000	
				145.00	376.00	109.00	
				829.90	365.00	197.00	
				137.29	598.00	173.00	
				120.32	22.000	244.00	
				103.35	611.00	231.00	
				141.92	530.00	242.00	
				262.24	378.00	269.00	
				191.28	575.00	362.00	
				169.68	442.00	412.00	
				169.68	80.000	433.00	
				111.06	627.00	413.00	
				138.83	628.00	462.00	
				86.380	197.00	507.00	
				154.26	601.00	509.00	
				152.71	242.00	527.00	
				155.80	412.00	551.00	
				163.51	367.00	591.00	
1232-3	2352.4	283.00	176.00	132.66	454.00	105.00	
	1354.4	452.00	227.00	356.33	475.00	310.00	
	939.42	42.000	234.00	328.57	432.00	350.00	
	3162.3	506.00	381.00	165.05	255.00	381.00	
	502.88	279.00	543.00	236.01	301.00	377.00	
				111.06	53.000	414.00	
				111.06	197.00	424.00	
				111.06	273.00	417.00	
				87.930	68.000	435.00	
				157.34	131.00	447.00	
				157.34	72.000	463.00	
				111.06	103.00	468.00	
				317.77	211.00	483.00	
				422.66	250.00	483.00	
				178.94	37.000	484.00	
				228.30	18.000	504.00	
				169.68	193.00	542.00	
				161.97	319.00	540.00	
				200.53	353.00	553.00	
				214.42	127.00	572.00	
				91.010	196.00	575.00	
				276.12	310.00	627.00	
				132.66	342.00	628.00	
1232-4	590.80	382.00	18.000	104.89	244.00	27.000	
	1369.8	253.00	154.00	91.010	270.00	33.000	
	4677.0	409.00	198.00	91.010	227.00	40.000	
	2485.1	36.000	211.00	115.69	548.00	47.000	
	5513.1	177.00	298.00	81.760	198.00	55.000	
	2264.5	136.00	342.00	89.470	290.00	55.000	
	7967.3	372.00	355.00	126.49	365.00	93.000	
	1408.4	567.00	365.00	77.130	127.00	114.00	
	4240.5	383.00	418.00	89.470	151.00	111.00	
	996.50	23.000	581.00	180.48	453.00	137.00	
	1616.6	483.00	582.00	208.25	515.00	182.00	
	678.73	594.00	582.00	388.73	285.00	208.00	
				192.82	522.00	244.00	
				115.69	336.00	289.00	
				661.76	424.00	303.00	
				296.17	474.00	286.00	
				197.45	539.00	300.00	
				279.20	524.00	316.00	
				320.85	489.00	326.00	
				249.90	514.00	350.00	
				1517.9	296.00	392.00	
				580.00	244.00	386.00	
				219.04	488.00	389.00	
				161.97	622.00	463.00	
				232.93	614.00	521.00	
				427.29	546.00	565.00	
1232-5	637.08	311.00	136.00	245.27	486.00	34.000	
	564.58	429.00	165.00	111.06	212.00	137.00	
	1160.0	572.00	162.00	1200.1	509.00	146.00	
	4737.2	347.00	231.00	178.94	115.00	238.00	
	2043.9	389.00	247.00	675.64	442.00	280.00	
	522.93	355.00	375.00	231.38	324.00	337.00	
	2937.0	134.00	567.00	154.26	530.00	488.00	
	2341.6	464.00	616.00	496.71	269.00	546.00	
	465.85	608.00	621.00	236.01	170.00	619.00	
				509.05	190.00	624.00	
